League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Bundesliga,18/04/2026,Ein Frankfurt,RB Leipzig,1.43,2.71
Bundesliga,19/04/2026,Freiburg,Heidenheim,1.6,2.25
Bundesliga,19/04/2026,Bayern Munich,Stuttgart,1.23,3.99
Bundesliga,19/04/2026,M'gladbach,Mainz,1.84,1.91
Bundesliga,24/04/2026,RB Leipzig,Union Berlin,1.49,2.53
Bundesliga,25/04/2026,Augsburg,Ein Frankfurt,1.51,2.47
Bundesliga,25/04/2026,FC Koln,Leverkusen,1.51,2.46
Bundesliga,25/04/2026,Heidenheim,St Pauli,1.91,1.84
Bundesliga,25/04/2026,Mainz,Bayern Munich,1.4,2.84
Bundesliga,25/04/2026,Wolfsburg,M'gladbach,1.6,2.25
Bundesliga,25/04/2026,Hamburg,Hoffenheim,1.49,2.53
Bundesliga,26/04/2026,Stuttgart,Werder Bremen,1.41,2.76
Bundesliga,26/04/2026,Dortmund,Freiburg,1.5,2.51
Bundesliga,02/05/2026,Bayern Munich,Heidenheim,1.24,3.86
Bundesliga,02/05/2026,Ein Frankfurt,Hamburg,1.52,2.45
Bundesliga,02/05/2026,Hoffenheim,Stuttgart,1.34,3.1
Bundesliga,02/05/2026,Union Berlin,FC Koln,1.86,1.88
Bundesliga,02/05/2026,Werder Bremen,Augsburg,1.59,2.26
Bundesliga,02/05/2026,Leverkusen,RB Leipzig,1.36,03.02
Bundesliga,03/05/2026,St Pauli,Mainz,2.1,1.69
Bundesliga,03/05/2026,M'gladbach,Dortmund,1.56,2.34
Bundesliga,03/05/2026,Freiburg,Wolfsburg,1.65,2.16
