League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Serie A,31/01/2026,Cagliari,Verona,2.49,1.51
Serie A,01/02/2026,Torino,Lecce,2.52,1.5
Serie A,01/02/2026,Como,Atalanta,1.91,1.85
Serie A,01/02/2026,Cremonese,Inter,1.63,2.2
Serie A,01/02/2026,Parma,Juventus,1.91,1.84
Serie A,02/02/2026,Udinese,Roma,2.17,1.65
Serie A,03/02/2026,Bologna,Milan,2.1,1.69
Serie A,06/02/2026,Verona,Pisa,2.37,1.55
Serie A,07/02/2026,Genoa,Napoli,2.52,1.5
Serie A,07/02/2026,Fiorentina,Torino,1.9,1.86
Serie A,08/02/2026,Bologna,Parma,1.95,1.8
Serie A,08/02/2026,Lecce,Udinese,2.75,1.42
Serie A,08/02/2026,Sassuolo,Inter,1.76,02.01
Serie A,08/02/2026,Juventus,Lazio,2.1,1.7
Serie A,09/02/2026,Atalanta,Cremonese,1.68,2.13
Serie A,09/02/2026,Roma,Cagliari,02.01,1.75
Serie A,13/02/2026,Pisa,Milan,1.87,1.89
Serie A,14/02/2026,Como,Fiorentina,1.79,1.96
Serie A,14/02/2026,Lazio,Atalanta,02.05,1.72
Serie A,14/02/2026,Inter,Juventus,1.93,1.83
Serie A,15/02/2026,Udinese,Sassuolo,2.22,1.62
Serie A,15/02/2026,Cremonese,Genoa,2.52,1.5
Serie A,15/02/2026,Parma,Verona,2.47,1.52
Serie A,15/02/2026,Torino,Bologna,02.02,1.74
Serie A,15/02/2026,Napoli,Roma,2.45,1.51
Serie A,16/02/2026,Cagliari,Lecce,2.57,1.47
Serie A,18/02/2026,Milan,Como,1.92,1.83
Serie A,20/02/2026,Sassuolo,Verona,2.22,1.62
Serie A,21/02/2026,Juventus,Como,1.98,1.78
Serie A,21/02/2026,Lecce,Inter,02.03,1.73
Serie A,21/02/2026,Cagliari,Lazio,2.33,1.56
Serie A,22/02/2026,Genoa,Torino,2.26,1.6
Serie A,22/02/2026,Atalanta,Napoli,02.07,1.71
Serie A,22/02/2026,Milan,Parma,1.78,1.97
Serie A,22/02/2026,Roma,Cremonese,1.91,1.84
Serie A,23/02/2026,Fiorentina,Pisa,1.76,02.01
Serie A,23/02/2026,Bologna,Udinese,2.1,1.7
Serie A,27/02/2026,Parma,Cagliari,2.43,1.53
Serie A,28/02/2026,Como,Lecce,1.96,1.8
Serie A,28/02/2026,Verona,Napoli,2.23,1.62
Serie A,28/02/2026,Inter,Genoa,1.7,02.09
Serie A,01/03/2026,Cremonese,Milan,1.88,1.87
Serie A,01/03/2026,Sassuolo,Atalanta,1.82,1.93
Serie A,01/03/2026,Torino,Lazio,2.41,1.53
Serie A,01/03/2026,Roma,Juventus,2.25,1.6
Serie A,02/03/2026,Pisa,Bologna,02.08,1.71
Serie A,02/03/2026,Udinese,Fiorentina,2,1.76
Serie A,06/03/2026,Napoli,Torino,2.15,1.67
Serie A,07/03/2026,Cagliari,Como,02.01,1.76
Serie A,07/03/2026,Atalanta,Udinese,1.88,1.87
Serie A,07/03/2026,Juventus,Pisa,1.6,2.27
Serie A,08/03/2026,Lecce,Cremonese,2.64,1.45
Serie A,08/03/2026,Bologna,Verona,1.99,1.77
Serie A,08/03/2026,Fiorentina,Parma,1.86,1.88
Serie A,08/03/2026,Genoa,Roma,2.32,1.56
Serie A,08/03/2026,Milan,Inter,1.95,1.8
Serie A,09/03/2026,Lazio,Sassuolo,2.17,1.65
Serie A,13/03/2026,Torino,Parma,2.29,1.58
Serie A,14/03/2026,Inter,Atalanta,1.7,02.09
Serie A,14/03/2026,Napoli,Lecce,2.14,1.67
Serie A,14/03/2026,Udinese,Juventus,1.92,1.83
Serie A,15/03/2026,Verona,Genoa,2.5,1.5
Serie A,15/03/2026,Pisa,Cagliari,2.44,1.52
Serie A,15/03/2026,Sassuolo,Bologna,1.99,1.77
Serie A,15/03/2026,Como,Roma,2.1,1.69
Serie A,15/03/2026,Lazio,Milan,2.16,1.66
Serie A,16/03/2026,Cremonese,Fiorentina,1.88,1.87
Serie A,20/03/2026,Cagliari,Napoli,2.43,1.53
Serie A,20/03/2026,Genoa,Udinese,2.45,1.52
Serie A,21/03/2026,Parma,Cremonese,2.15,1.67
Serie A,21/03/2026,Milan,Torino,1.76,2
Serie A,21/03/2026,Juventus,Sassuolo,1.62,2.22
Serie A,22/03/2026,Como,Pisa,1.68,2.11
Serie A,22/03/2026,Atalanta,Verona,1.86,1.88
Serie A,22/03/2026,Bologna,Lazio,2.3,1.58
Serie A,22/03/2026,Roma,Lecce,02.07,1.71
Serie A,22/03/2026,Fiorentina,Inter,1.74,02.03
Serie A,04/04/2026,Sassuolo,Cagliari,2.12,1.68
Serie A,04/04/2026,Verona,Fiorentina,2.17,1.65
Serie A,04/04/2026,Lazio,Parma,2.26,1.6
Serie A,05/04/2026,Cremonese,Bologna,1.98,1.78
Serie A,05/04/2026,Pisa,Torino,2.26,1.6
Serie A,05/04/2026,Inter,Roma,1.9,1.84
Serie A,06/04/2026,Udinese,Como,1.98,1.78
Serie A,06/04/2026,Lecce,Atalanta,1.97,1.78
