League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Ligue 1,25/01/2026,Paris FC,Angers,02.03,1.73
Ligue 1,25/01/2026,Lille,Strasbourg,1.77,1.98
Ligue 1,30/01/2026,Lens,Le Havre,1.56,2.33
Ligue 1,31/01/2026,Paris FC,Marseille,1.7,02.08
Ligue 1,31/01/2026,Lorient,Nantes,02.02,1.74
Ligue 1,31/01/2026,Monaco,Rennes,1.47,2.57
Ligue 1,01/02/2026,Lyon,Lille,1.76,1.99
Ligue 1,01/02/2026,Angers,Metz,02.04,1.72
Ligue 1,01/02/2026,Nice,Brest,1.78,1.96
Ligue 1,01/02/2026,Toulouse,Auxerre,2.19,1.63
Ligue 1,01/02/2026,Strasbourg,Paris SG,1.52,2.43
Ligue 1,06/02/2026,Metz,Lille,1.73,02.04
Ligue 1,07/02/2026,Lens,Rennes,1.58,2.29
Ligue 1,07/02/2026,Brest,Lorient,02.05,1.72
Ligue 1,07/02/2026,Nantes,Lyon,1.87,1.86
Ligue 1,08/02/2026,Nice,Monaco,1.48,2.55
Ligue 1,08/02/2026,Angers,Toulouse,2.34,1.55
Ligue 1,08/02/2026,Auxerre,Paris FC,2.11,1.68
Ligue 1,08/02/2026,Le Havre,Strasbourg,1.93,1.82
Ligue 1,08/02/2026,Paris SG,Marseille,1.41,2.76
Ligue 1,13/02/2026,Rennes,Paris SG,1.38,2.91
Ligue 1,13/02/2026,Monaco,Nantes,1.51,2.45
Ligue 1,14/02/2026,Marseille,Strasbourg,1.59,2.26
Ligue 1,14/02/2026,Lille,Brest,1.84,1.9
Ligue 1,14/02/2026,Paris FC,Lens,1.8,1.94
Ligue 1,15/02/2026,Le Havre,Toulouse,2.19,1.64
Ligue 1,15/02/2026,Lorient,Angers,2.25,1.59
Ligue 1,15/02/2026,Metz,Auxerre,2.17,1.64
Ligue 1,15/02/2026,Lyon,Nice,1.68,2.1
Ligue 1,20/02/2026,Brest,Marseille,1.68,2.11
Ligue 1,21/02/2026,Lens,Monaco,1.46,2.59
Ligue 1,21/02/2026,Toulouse,Paris FC,2.19,1.63
Ligue 1,21/02/2026,Paris SG,Metz,1.24,3.76
Ligue 1,22/02/2026,Auxerre,Rennes,1.85,1.88
Ligue 1,22/02/2026,Angers,Lille,02.01,1.75
Ligue 1,22/02/2026,Nantes,Le Havre,02.08,1.7
Ligue 1,22/02/2026,Nice,Lorient,1.8,1.94
Ligue 1,22/02/2026,Strasbourg,Lyon,1.76,1.99
Ligue 1,27/02/2026,Strasbourg,Lens,1.62,2.22
Ligue 1,28/02/2026,Rennes,Toulouse,1.83,1.9
Ligue 1,28/02/2026,Monaco,Angers,1.66,2.13
Ligue 1,28/02/2026,Le Havre,Paris SG,1.41,2.73
Ligue 1,01/03/2026,Paris FC,Nice,1.86,1.87
Ligue 1,01/03/2026,Lille,Nantes,1.74,02.01
Ligue 1,01/03/2026,Lorient,Auxerre,2.19,1.63
Ligue 1,01/03/2026,Metz,Brest,1.9,1.84
Ligue 1,01/03/2026,Marseille,Lyon,1.66,2.13
Ligue 1,06/03/2026,Paris SG,Monaco,1.32,3.26
Ligue 1,07/03/2026,Nantes,Angers,2.27,1.58
Ligue 1,07/03/2026,Auxerre,Strasbourg,1.94,1.8
Ligue 1,07/03/2026,Toulouse,Marseille,1.81,1.93
Ligue 1,08/03/2026,Lens,Metz,1.47,2.58
Ligue 1,08/03/2026,Brest,Le Havre,1.97,1.77
Ligue 1,08/03/2026,Lille,Lorient,1.82,1.91
Ligue 1,08/03/2026,Nice,Rennes,1.63,2.18
Ligue 1,08/03/2026,Lyon,Paris FC,1.79,1.95
Ligue 1,13/03/2026,Marseille,Auxerre,1.56,2.33
Ligue 1,14/03/2026,Lorient,Lens,1.79,1.96
Ligue 1,14/03/2026,Angers,Nice,2,1.75
Ligue 1,14/03/2026,Monaco,Brest,1.61,2.22
Ligue 1,15/03/2026,Strasbourg,Paris FC,1.77,1.98
Ligue 1,15/03/2026,Le Havre,Lyon,02.04,1.72
Ligue 1,15/03/2026,Metz,Toulouse,2.13,1.66
Ligue 1,15/03/2026,Rennes,Lille,1.79,1.95
Ligue 1,20/03/2026,Lens,Angers,1.51,2.45
