League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Liga,13/02/2026,Elche,Osasuna,02.01,1.75
Liga,14/02/2026,Espanol,Celta,2.16,1.66
Liga,14/02/2026,Getafe,Villarreal,2.39,1.53
Liga,14/02/2026,Sevilla,Alaves,2.34,1.55
Liga,14/02/2026,Real Madrid,Sociedad,1.42,2.72
Liga,15/02/2026,Oviedo,Ath Bilbao,2.32,1.57
Liga,15/02/2026,Vallecano,Ath Madrid,02.04,1.72
Liga,15/02/2026,Levante,Valencia,1.95,1.79
Liga,15/02/2026,Mallorca,Betis,1.99,1.76
Liga,16/02/2026,Girona,Barcelona,1.3,3.3
Liga,18/02/2026,Levante,Villarreal,1.65,2.16
Liga,20/02/2026,Ath Bilbao,Elche,1.83,1.91
Liga,21/02/2026,Sociedad,Oviedo,1.91,1.84
Liga,21/02/2026,Betis,Vallecano,1.88,1.86
Liga,21/02/2026,Osasuna,Real Madrid,1.65,2.15
Liga,21/02/2026,Ath Madrid,Espanol,1.83,1.91
Liga,22/02/2026,Getafe,Sevilla,2.87,1.38
Liga,22/02/2026,Barcelona,Levante,1.21,4.23
Liga,22/02/2026,Celta,Mallorca,2.14,1.66
Liga,22/02/2026,Villarreal,Valencia,1.76,1.99
Liga,23/02/2026,Alaves,Girona,2.41,1.53
Liga,27/02/2026,Levante,Alaves,2.23,1.62
Liga,28/02/2026,Vallecano,Ath Bilbao,2.26,1.59
Liga,28/02/2026,Barcelona,Villarreal,1.26,3.62
Liga,28/02/2026,Mallorca,Sociedad,02.03,1.73
Liga,28/02/2026,Oviedo,Ath Madrid,1.98,1.76
Liga,01/03/2026,Elche,Espanol,1.99,1.76
Liga,01/03/2026,Valencia,Osasuna,2.19,1.63
Liga,01/03/2026,Betis,Sevilla,1.93,1.81
Liga,01/03/2026,Girona,Celta,1.95,1.78
Liga,02/03/2026,Real Madrid,Getafe,1.77,1.98
Liga,04/03/2026,Vallecano,Oviedo,02.09,1.69
Liga,06/03/2026,Celta,Real Madrid,1.98,1.78
Liga,07/03/2026,Osasuna,Mallorca,2.16,1.65
Liga,07/03/2026,Levante,Girona,1.89,1.85
Liga,07/03/2026,Ath Madrid,Sociedad,1.75,2
Liga,07/03/2026,Ath Bilbao,Barcelona,1.47,2.57
Liga,08/03/2026,Villarreal,Elche,1.56,2.31
Liga,08/03/2026,Getafe,Betis,2.69,1.43
Liga,08/03/2026,Sevilla,Vallecano,2.17,1.64
Liga,08/03/2026,Valencia,Alaves,2.38,1.54
Liga,09/03/2026,Espanol,Oviedo,2.15,1.65
Liga,13/03/2026,Alaves,Villarreal,1.93,1.82
Liga,14/03/2026,Girona,Ath Bilbao,1.99,1.77
Liga,14/03/2026,Ath Madrid,Getafe,2.34,1.55
Liga,14/03/2026,Oviedo,Valencia,2.31,1.57
Liga,14/03/2026,Real Madrid,Elche,1.42,2.69
Liga,15/03/2026,Mallorca,Espanol,2.31,1.57
Liga,15/03/2026,Barcelona,Sevilla,1.31,3.25
Liga,15/03/2026,Betis,Celta,1.91,1.81
Liga,15/03/2026,Sociedad,Osasuna,1.96,1.78
Liga,16/03/2026,Vallecano,Levante,1.86,1.87
Liga,20/03/2026,Villarreal,Sociedad,1.75,02.02
Liga,21/03/2026,Elche,Mallorca,02.05,1.72
Liga,21/03/2026,Espanol,Getafe,2.9,1.38
Liga,21/03/2026,Levante,Oviedo,02.07,1.7
Liga,21/03/2026,Osasuna,Girona,1.93,1.81
Liga,21/03/2026,Sevilla,Valencia,2.29,1.57
Liga,22/03/2026,Barcelona,Vallecano,1.33,3.16
Liga,22/03/2026,Celta,Alaves,2.27,1.59
Liga,22/03/2026,Ath Bilbao,Betis,1.9,1.84
Liga,22/03/2026,Real Madrid,Ath Madrid,1.57,2.31
Liga,03/04/2026,Vallecano,Elche,1.8,1.96
Liga,04/04/2026,Sociedad,Levante,1.69,2.11
Liga,04/04/2026,Mallorca,Real Madrid,1.63,2.19
Liga,04/04/2026,Betis,Espanol,1.81,1.93
Liga,04/04/2026,Ath Madrid,Barcelona,1.45,2.63
Liga,05/04/2026,Getafe,Ath Bilbao,2.98,1.36
Liga,05/04/2026,Valencia,Celta,2.1,1.68
Liga,05/04/2026,Oviedo,Sevilla,2.33,1.55
Liga,05/04/2026,Alaves,Osasuna,2.25,1.59
Liga,06/04/2026,Girona,Villarreal,1.67,2.12
Liga,10/04/2026,Real Madrid,Girona,1.42,2.77
Liga,11/04/2026,Sociedad,Alaves,1.86,1.88
Liga,11/04/2026,Elche,Valencia,02.01,1.74
Liga,11/04/2026,Barcelona,Espanol,1.3,3.34
Liga,11/04/2026,Sevilla,Ath Madrid,2.1,1.68
Liga,12/04/2026,Osasuna,Betis,1.88,1.86
Liga,12/04/2026,Mallorca,Vallecano,2.19,1.63
Liga,12/04/2026,Celta,Oviedo,1.92,1.82
Liga,12/04/2026,Ath Bilbao,Villarreal,1.88,1.86
Liga,13/04/2026,Levante,Getafe,2.68,1.44
Liga,21/04/2026,Ath Bilbao,Osasuna,1.93,1.82
Liga,21/04/2026,Mallorca,Valencia,2.1,1.68
Liga,21/04/2026,Girona,Betis,1.83,1.92
Liga,21/04/2026,Real Madrid,Alaves,1.4,2.81
Liga,22/04/2026,Elche,Ath Madrid,1.66,2.13
Liga,22/04/2026,Sociedad,Getafe,2.51,1.49
Liga,22/04/2026,Barcelona,Celta,1.28,3.48
Liga,23/04/2026,Levante,Sevilla,2.1,1.68
Liga,23/04/2026,Vallecano,Espanol,2.11,1.67
Liga,23/04/2026,Oviedo,Villarreal,1.9,1.83
Liga,24/04/2026,Betis,Real Madrid,1.48,2.54
Liga,25/04/2026,Alaves,Mallorca,02.09,1.68
Liga,25/04/2026,Getafe,Barcelona,1.8,1.94
Liga,25/04/2026,Valencia,Girona,1.88,1.85
Liga,25/04/2026,Ath Madrid,Ath Bilbao,1.83,1.9
Liga,26/04/2026,Vallecano,Sociedad,1.92,1.81
Liga,26/04/2026,Oviedo,Elche,02.04,1.72
Liga,26/04/2026,Osasuna,Sevilla,02.02,1.73
Liga,26/04/2026,Villarreal,Celta,1.79,1.95
Liga,27/04/2026,Espanol,Levante,1.89,1.84
Liga,01/05/2026,Girona,Mallorca,1.81,1.94
Liga,02/05/2026,Villarreal,Levante,1.56,2.31
Liga,02/05/2026,Valencia,Ath Madrid,1.77,1.97
Liga,02/05/2026,Alaves,Ath Bilbao,1.97,1.76
Liga,02/05/2026,Osasuna,Barcelona,1.52,2.43
Liga,03/05/2026,Celta,Elche,1.71,02.06
Liga,03/05/2026,Getafe,Vallecano,2.62,1.45
Liga,03/05/2026,Betis,Oviedo,1.83,1.9
Liga,03/05/2026,Espanol,Real Madrid,1.53,2.39
Liga,04/05/2026,Sevilla,Sociedad,1.92,1.82
